,Magnitude,Place,Datetime,Depth
0,2.8,"106 km ESE of Perryville, Alaska",2021-07-29 13:03:07 (UTC),7.7 km
1,4.3,"133 km SE of Chignik, Alaska",2021-07-29 12:42:44 (UTC),24.9 km
2,3.8,"127 km ESE of Chignik, Alaska",2021-07-29 12:32:04 (UTC),2.0 km
3,3.8,"130 km SE of Perryville, Alaska",2021-07-29 12:28:24 (UTC),30.6 km
4,2.6,"7 km SW of La Parguera, Puerto Rico",2021-07-29 12:27:20 (UTC),11.0 km
5,3.8,"146 km SE of Chignik, Alaska",2021-07-29 12:23:28 (UTC),25.3 km
6,3.5,"132 km SE of Perryville, Alaska",2021-07-29 12:17:56 (UTC),0.0 km
7,3.6,"128 km SSE of Chignik, Alaska",2021-07-29 11:47:57 (UTC),34.9 km
8,3.7,"156 km SE of Perryville, Alaska",2021-07-29 11:41:27 (UTC),0.0 km
9,3.7,"131 km SSE of Chignik, Alaska",2021-07-29 11:29:18 (UTC),0.0 km
10,4.2,"130 km SSE of Chignik, Alaska",2021-07-29 11:08:48 (UTC),25.0 km
11,4.4,"240 km WNW of Haveluloto, Tonga",2021-07-29 11:07:21 (UTC),482.8 km
12,5.1,"49 km N of Isangel, Vanuatu",2021-07-29 11:00:58 (UTC),214.2 km
13,2.7,"118 km ESE of Chignik, Alaska",2021-07-29 10:42:14 (UTC),0.0 km
14,3.5,"153 km SE of Chignik, Alaska",2021-07-29 10:37:54 (UTC),0.0 km
15,3.5,"63 km SE of Ugashik, Alaska",2021-07-29 10:33:22 (UTC),5.5 km
16,4.0,"191 km SE of Perryville, Alaska",2021-07-29 10:26:52 (UTC),0.0 km
17,3.4,"104 km SE of Perryville, Alaska",2021-07-29 10:24:16 (UTC),6.5 km
18,3.3,"102 km SE of Chignik, Alaska",2021-07-29 10:22:21 (UTC),36.9 km
19,2.7,"28 km E of Perryville, Alaska",2021-07-29 10:13:32 (UTC),103.3 km
20,3.2,"61 km SSE of Chignik, Alaska",2021-07-29 10:08:01 (UTC),0.0 km
21,4.2,"203 km SE of Chignik, Alaska",2021-07-29 09:58:27 (UTC),16.2 km
22,4.5,"149 km SE of Chignik, Alaska",2021-07-29 09:53:42 (UTC),25.3 km
23,4.4,"163 km SE of Chignik, Alaska",2021-07-29 09:52:14 (UTC),17.1 km
24,2.6,"75 km ESE of Ugashik, Alaska",2021-07-29 09:44:59 (UTC),49.9 km
25,5.3,central East Pacific Rise,2021-07-29 09:40:44 (UTC),10.0 km
26,3.0,"57 km SE of Fox River, Alaska",2021-07-29 09:39:24 (UTC),47.3 km
27,3.3,"64 km SE of Perryville, Alaska",2021-07-29 09:37:42 (UTC),21.3 km
28,4.7,"126 km SSE of Chignik, Alaska",2021-07-29 09:28:23 (UTC),25.9 km
29,3.8,"153 km SSE of Chignik, Alaska",2021-07-29 09:22:50 (UTC),14.2 km
30,3.9,"136 km SE of Perryville, Alaska",2021-07-29 08:55:25 (UTC),35.7 km
31,2.8,"95 km WSW of Akhiok, Alaska",2021-07-29 08:50:48 (UTC),0.0 km
32,4.1,"149 km SE of Perryville, Alaska",2021-07-29 08:40:17 (UTC),25.6 km
33,5.5,"46 km NE of Shwebo, Myanmar",2021-07-29 08:39:27 (UTC),10.0 km
34,3.2,"80 km SSE of Chignik, Alaska",2021-07-29 08:38:54 (UTC),17.8 km
35,2.8,"51 km NW of Karluk, Alaska",2021-07-29 08:33:33 (UTC),25.8 km
36,4.0,"176 km SE of Chignik, Alaska",2021-07-29 08:32:46 (UTC),0.2 km
37,4.2,"173 km ESE of Chignik, Alaska",2021-07-29 08:25:22 (UTC),47.7 km
38,4.2,"149 km SE of Chignik, Alaska",2021-07-29 08:15:48 (UTC),33.2 km
39,3.9,"113 km SE of Chignik, Alaska",2021-07-29 08:15:21 (UTC),0.7 km
40,4.6,"155 km SSE of Chignik, Alaska",2021-07-29 08:09:45 (UTC),35.2 km
41,4.5,"135 km SE of Chignik, Alaska",2021-07-29 08:08:57 (UTC),45.1 km
42,3.8,"128 km SE of Perryville, Alaska",2021-07-29 08:02:57 (UTC),43.0 km
43,3.9,"135 km SE of Perryville, Alaska",2021-07-29 07:58:26 (UTC),32.3 km
44,3.7,"136 km SE of Chignik, Alaska",2021-07-29 07:54:38 (UTC),24.4 km
45,4.3,"132 km SSE of Chignik, Alaska",2021-07-29 07:50:00 (UTC),25.8 km
46,3.3,"68 km E of Ugashik, Alaska",2021-07-29 07:39:46 (UTC),0.0 km
47,4.5,"154 km SE of Perryville, Alaska",2021-07-29 07:32:34 (UTC),15.5 km
48,4.2,"145 km SE of Chignik, Alaska",2021-07-29 07:31:15 (UTC),20.4 km
49,2.8,"54 km NW of Toyah, Texas",2021-07-29 07:25:47 (UTC),6.2 km
50,4.3,"129 km SE of Chignik, Alaska",2021-07-29 07:22:11 (UTC),35.5 km
51,3.8,"80 km E of Chignik, Alaska",2021-07-29 07:16:02 (UTC),6.0 km
79,4.4,"96 km SSE of Perryville, Alaska",2021-07-29 07:11:25 (UTC),15.8 km
80,4.2,"156 km SE of Chignik, Alaska",2021-07-29 06:57:04 (UTC),24.4 km
81,4.2,"141 km SE of Chignik, Alaska",2021-07-29 06:53:26 (UTC),25.3 km
82,4.8,"129 km SE of Perryville, Alaska",2021-07-29 06:47:24 (UTC),58.1 km
83,4.5,"144 km SE of Perryville, Alaska",2021-07-29 06:45:12 (UTC),25.2 km
84,5.5,"197 km SE of Chignik, Alaska",2021-07-29 06:32:30 (UTC),10.0 km
85,3.0,"2km SW of Anderson Springs, CA",2021-07-29 06:30:26 (UTC),5.5 km
86,5.9,"119 km SSE of Chignik, Alaska",2021-07-29 06:23:28 (UTC),5.3 km
87,6.1,"114 km SSE of Perryville, Alaska",2021-07-29 06:19:25 (UTC),27.1 km
88,8.2,"104 km SE of Perryville, Alaska",2021-07-29 06:15:47 (UTC),32.2 km
89,5.4,null,2021-07-29 05:00:54 (UTC),10.0 km
90,2.6,"55 km S of Whites City, New Mexico",2021-07-29 04:21:13 (UTC),9.3 km
91,5.0,"184 km NW of Sola, Vanuatu",2021-07-29 03:52:38 (UTC),35.0 km
92,2.5,"55 km NW of Toyah, Texas",2021-07-29 03:22:06 (UTC),10.4 km
93,2.5,"82 km SSW of Kaktovik, Alaska",2021-07-29 03:16:57 (UTC),0.0 km
94,4.8,"80 km N of Isangel, Vanuatu",2021-07-29 03:16:02 (UTC),140.9 km
95,2.7,"6 km ENE of P?hala, Hawaii",2021-07-29 01:03:55 (UTC),36.3 km
96,4.6,"86 km WSW of Santiago de Cao, Peru",2021-07-29 00:54:16 (UTC),45.9 km
97,4.8,"85 km WSW of Santiago de Cao, Peru",2021-07-29 00:46:12 (UTC),39.3 km
98,5.8,"84 km WSW of Santiago de Cao, Peru",2021-07-29 00:32:14 (UTC),23.0 km
99,3.4,"54 km NW of Toyah, Texas",2021-07-29 00:08:04 (UTC),7.3 km
100,3.0,"26km SSW of Smith Valley, NV",2021-07-28 23:50:23 (UTC),1.6 km
101,2.8,"37 km ESE of Malaga, New Mexico",2021-07-28 23:50:22 (UTC),7.6 km
102,4.6,"144 km NW of Ternate, Indonesia",2021-07-28 21:13:46 (UTC),25.4 km
103,5.1,Kermadec Islands region,2021-07-28 21:06:46 (UTC),375.6 km
104,2.7,"31km SE of Markleeville, CA",2021-07-28 19:38:57 (UTC),13.0 km
105,3.2,"1 km ENE of Lluveras, Puerto Rico",2021-07-28 19:36:05 (UTC),15.0 km
106,3.1,"2 km SSW of Guánica, Puerto Rico",2021-07-28 18:44:20 (UTC),10.0 km
107,3.5,"14 km NNW of Brenas, Puerto Rico",2021-07-28 18:41:43 (UTC),109.0 km
108,2.9,"8 km SW of La Parguera, Puerto Rico",2021-07-28 18:00:34 (UTC),9.0 km
109,3.8,"115 km SW of Adak, Alaska",2021-07-28 17:31:12 (UTC),25.6 km
110,2.9,"269 km ESE of Chiniak, Alaska",2021-07-28 16:57:15 (UTC),10.0 km
111,2.8,"31km ENE of Dardanelle, CA",2021-07-28 15:58:15 (UTC),3.5 km
112,4.2,"74 km WNW of Nikolski, Alaska",2021-07-28 15:33:07 (UTC),106.4 km
113,4.3,"54 km NW of Toyah, Texas",2021-07-28 15:28:04 (UTC),6.3 km
114,3.8,"173 km NNE of Cruz Bay, U.S. Virgin Islands",2021-07-28 15:14:59 (UTC),78.0 km
115,3.4,"7km NNW of Cholame, CA",2021-07-28 15:07:31 (UTC),8.5 km
116,2.6,"11km NE of Indio, CA",2021-07-28 14:47:49 (UTC),5.4 km
117,2.9,"9 km SSE of Esbon, Kansas",2021-07-28 14:15:39 (UTC),5.0 km
118,3.1,"15km WSW of Bridgeport, CA",2021-07-28 14:14:19 (UTC),11.4 km
119,2.8,"57 km N of Chickaloon, Alaska",2021-07-28 13:26:51 (UTC),21.1 km
120,3.3,"6 km ENE of P?hala, Hawaii",2021-07-28 12:37:22 (UTC),36.1 km
121,4.1,"23 km SW of Yedisu, Turkey",2021-07-28 12:27:14 (UTC),10.0 km
122,3.1,"6 km W of Pole Ojea, Puerto Rico",2021-07-28 12:22:00 (UTC),5.0 km
123,4.3,"7 km ESE of Charta, Colombia",2021-07-28 11:38:35 (UTC),164.6 km
124,4.4,"44 km WSW of Arica, Chile",2021-07-28 11:09:51 (UTC),38.4 km
152,5.0,Tristan da Cunha region,2021-07-28 11:06:14 (UTC),10.0 km
153,3.1,"6km NNW of Guerneville, CA",2021-07-28 10:51:09 (UTC),5.8 km
154,2.5,"55 km S of Whites City, New Mexico",2021-07-28 10:45:44 (UTC),7.2 km
155,2.6,"6 km WSW of Pole Ojea, Puerto Rico",2021-07-28 08:02:17 (UTC),8.0 km
156,2.5,"6km N of Petrolia, CA",2021-07-28 06:52:46 (UTC),27.1 km
157,2.6,"5 km WSW of Fuig, Puerto Rico",2021-07-28 06:14:53 (UTC),6.0 km
158,4.2,"39 km S of Tocopilla, Chile",2021-07-28 04:44:21 (UTC),65.0 km
159,4.1,"18 km NE of Chinandega, Nicaragua",2021-07-28 04:38:02 (UTC),10.0 km
160,2.9,"55 km S of Whites City, New Mexico",2021-07-28 04:16:21 (UTC),7.0 km
161,3.2,"284 km ESE of Chiniak, Alaska",2021-07-28 00:54:06 (UTC),10.0 km
162,4.7,"5 km W of Untsukul’, Russia",2021-07-28 00:41:21 (UTC),10.0 km
163,4.2,"56 km W of Las Grullas Margen Derecha, Mexico",2021-07-28 00:24:02 (UTC),10.0 km
164,2.7,"29km SE of Markleeville, CA",2021-07-27 23:33:33 (UTC),0.2 km
165,4.1,"61 km SW of Attu Station, Alaska",2021-07-27 22:55:20 (UTC),10.0 km
166,4.8,"130 km W of Höfn, Iceland",2021-07-27 22:12:11 (UTC),10.0 km
167,5.3,"50 km SSW of Lotofag?, Samoa",2021-07-27 20:26:02 (UTC),38.8 km
168,3.4,"110 km ESE of Akutan, Alaska",2021-07-27 20:20:22 (UTC),19.2 km
169,3.8,"258 km SE of Chiniak, Alaska",2021-07-27 20:01:46 (UTC),20.0 km
170,3.0,"54 km ESE of McKinley Park, Alaska",2021-07-27 19:06:35 (UTC),4.7 km
171,4.3,Fiji region,2021-07-27 19:03:07 (UTC),586.7 km
172,4.3,"106 km WNW of Höfn, Iceland",2021-07-27 19:02:12 (UTC),10.0 km
173,2.6,"5 km SW of Fuig, Puerto Rico",2021-07-27 17:14:24 (UTC),8.0 km
174,2.7,"6 km ENE of P?hala, Hawaii",2021-07-27 17:13:30 (UTC),36.6 km
175,4.5,"18 km WNW of Pisco, Peru",2021-07-27 16:58:38 (UTC),47.7 km
176,2.6,"25km SSW of Smith Valley, NV",2021-07-27 16:31:12 (UTC),-1.2 km
177,4.9,Kermadec Islands region,2021-07-27 16:22:39 (UTC),10.0 km
178,5.0,"99 km SSW of Trenggalek, Indonesia",2021-07-27 16:21:49 (UTC),65.7 km
